region,altitude,surface,parcelle_active,plante_reference,climat,typo_pays_principale,typo_pays_secondaire,bassin_prod_principal,bassin_prod_secondaire,topographie,plan_eau,exposition,orientation_vent,enclave,corridor,drain,biogeoregions,seqnum,hex_area,CLC,CHELSA_tas,CHELSA_spi12
AUVERGNE-RHONE-ALPES,200,0.3,1,Vigne,Semi-continental sud,Open field,Zone forestiere,Bassin viticole,Bassin viticole,Autres,0,Plein soleil,Nord,1,0,0,,1094825,95977942.4184179,3,7.25558934596755,-274.877143812476
AUVERGNE-RHONE-ALPES,350,0.84,1,Vigne,Semi-continental sud,Paysage mixte,Bocage a dominante polyculture elevage,Bassin viticole,Bassin viticole,Bas de coteau,0,Plein soleil,Nord,0,0,0,,1097026,95977942.6253934,3,5.96304080501106,-273.209506396181
AUVERGNE-RHONE-ALPES,285,6.2,1,Ble,Semi-continental sud,Paysage mixte,"Milieux aquatiques, zones humides",Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord,0,1,0,,1092646,95977942.486687,21,7.73508663059021,-273.552047634717
NOUVELLE-AQUITAINE,142,0.8,1,Vigne,Oceanique a semi oceanique sud,Open field,Information inconnue,Bassin viticole,Bassin viticole,Plateau,0,Plein soleil,Nord,0,0,0,,1067104,95977942.0113791,21,8.40963135002563,-273.583600535896
NOUVELLE-AQUITAINE,75,0.81,1,Ble,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone maraichere,Zone maraichere,Plaine,0,Plein soleil,Nord,0,1,0,,1067103,95977942.0048342,1,8.37988025386159,-273.650000781548
AUVERGNE-RHONE-ALPES,360,0.5,1,Salade,Semi-continental sud,Bocage a dominante polyculture elevage,Paysage mixte,Zone de polyculture-elevage,Zone de polyculture-elevage,Autres,0,Plein soleil,Nord,0,1,0,,1092642,95977942.438956,24,7.95443027230758,-274.243038708651
BOURGOGNE-FRANCHE-COMTE,,9.6,1,Ble,Semi-continental nord,Paysage mixte,,Autres,Autres,Plaine,0,Plein soleil,Nord,0,0,0,,1086824,95977942.5315502,21,6.77605766238588,-272.99448445638
BOURGOGNE-FRANCHE-COMTE,,9.58,1,Ble,Semi-continental nord,Paysage mixte,,Autres,Autres,Plaine,0,Plein soleil,Nord,0,0,0,,1086825,95977942.5437744,21,6.97743721706111,-272.879268925364
OCCITANIE,151,0.89,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord,0,1,0,,1095543,95977942.3040344,3,9.41250158611097,-274.449739155016
NOUVELLE-AQUITAINE,149,43.82,1,Mais,Oceanique a semi oceanique sud,Open field,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Plein soleil,Sud-Ouest,0,0,0,,1065640,95977941.9645443,21,8.31937599182129,-273.649129676819
AUVERGNE-RHONE-ALPES,350,4.26,1,Mais,Semi-continental sud,Open field,Paysage mixte,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord,0,1,0,,1095560,95977942.4999257,21,6.5891309080657,-274.203665976199
AUVERGNE-RHONE-ALPES,200,22.85,1,Mais,Semi-continental sud,Open field,Autres,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord,0,1,0,,1094104,95977942.5056781,21,7.90063655829128,-273.804745637918
AUVERGNE-RHONE-ALPES,190,29.54,1,Mais,Semi-continental sud,Open field,"Batis, milieu suburbain",Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord,0,1,0,,1093375,95977942.4961328,21,8.14562144577503,-273.68618888855
CENTRE-VAL DE LOIRE,166,28.5,0,Ble,Semi-continental sud,Paysage mixte,Paysage mixte,Zone de polyculture-elevage,Zone de polyculture-elevage,Plateau,0,Semi ombrage,Nord-Est,1,1,0,,1070760,95977942.1149413,21,8.07500512716247,-273.293963548614
OCCITANIE,50,0.84,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,,Bassin viticole,Bassin viticole,Haut de coteau,0,Plein soleil,Nord-Est,0,1,0,,1097726,95977942.2835462,21,11.2630669712241,-274.277710958244
OCCITANIE,89,0.72,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,,Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Nord-Est,0,0,0,,1094806,95977942.2161471,22,10.3644759529515,-274.031446356522
OCCITANIE,49,1.99,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,,Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Nord-Est,0,0,0,,1094806,95977942.2161471,22,10.3644759529515,-274.031446356522
OCCITANIE,150,7.65,0,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,,Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Nord-Est,0,1,0,,1096268,95977942.2694213,3,10.1642866506205,-274.278053580941
NOUVELLE-AQUITAINE,145,11.89,1,Ble,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Semi ombrage,Ouest,0,1,0,,1065641,95977941.9706814,21,8.069756242964,-273.694570659119
NOUVELLE-AQUITAINE,34,9.01,1,Mais,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Fond de vallee,0,Semi ombrage,Information inconnue,0,1,0,,1064908,95977941.9424696,21,8.80987447573815,-273.664076816888
NOUVELLE-AQUITAINE,22,9.71,1,Ble,Oceanique a semi oceanique sud,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Information inconnue,0,0,0,,1064179,95977941.9385189,21,8.94876398359026,-273.754409884814
BRETAGNE,60,1.5,1,Salade,Oceanique,Bocage a dominante polyculture elevage,Information inconnue,Zone maraichere,Zone maraichere,Bas de coteau,0,Plein soleil,Information inconnue,0,1,0,,629824,95977942.3565377,21,9.27603660673785,-273.220000498394
BRETAGNE,5,1.2,1,Salade,Oceanique,Bocage a dominante polyculture elevage,Information inconnue,Zone maraichere,Zone maraichere,Zone maritime bande cotiere,0,Plein soleil,Ouest,0,0,0,,629824,95977942.3565377,21,9.27603660673785,-273.220000498394
CORSE,45,0.72,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,Autres,Bassin viticole,Bassin viticole,Bas de coteau,1,Plein soleil,Information inconnue,0,1,0,,1130563,95977943.4315401,22,12.4324677950376,-274.753571349305
CORSE,,,0,Salade,"Mediterraneen, zone de l'olivier",Paysage mixte,,Bassin arboricole,Bassin arboricole,Fond de vallee,0,Plein soleil,Information inconnue,0,1,0,,1129836,95977943.4595572,5,12.531759158985,-274.825945261362
BRETAGNE,30,2.63,1,Mais,Oceanique,Bocage a dominante polyculture elevage,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Bas de coteau,0,Plein soleil,Information inconnue,0,0,0,,632025,95977942.22626,21,8.31726174127488,-272.786427634103
CORSE,15,0.55,1,Salade,"Mediterraneen, zone de l'olivier",Paysage mixte,Bocage a dominante polyculture elevage,Zone maraichere,Zone maraichere,Plaine,0,Plein soleil,Information inconnue,0,0,0,,1130561,95977943.3799214,3,11.4721491384826,-274.920541033649
CORSE,8,1.3,1,Salade,"Mediterraneen, zone de l'olivier",Paysage mixte,Bocage a dominante polyculture elevage,Zone maraichere,Zone maraichere,Plaine,0,Plein soleil,Information inconnue,0,1,0,,1128378,95977943.4116895,3,10.3613335227966,-275.268999633789
CORSE,9,1,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,"Milieux aquatiques, zones humides",Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Information inconnue,0,0,0,,1131292,95977943.455854,5,12.8716235289703,-274.78486344621
CORSE,68,0.25,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,Paysage mixte,Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Information inconnue,0,0,0,,1129835,95977943.4334964,3,10.4398644904833,-274.814933983055
