site,BIODICAPT_ID,conduite,culture,LON,LAT,network
NA,ZAAR_R09,CONVENTIONNELLE,grande_culture,-1.1852807128572476,47.99163071954395,ZAAR
NA,ZAAR_R11,AB,grande_culture,-1.3669531254135985,47.90753545719372,ZAAR
NA,ZAAR_R12,AB,grande_culture,-1.64640125021706,47.897820304981366,ZAAR
NA,ZAAR_R13,CONVENTIONNELLE,grande_culture,-1.6019230525469446,47.801320731020176,ZAAR
NA,ZAAR_R14,AB,grande_culture,-1.637183614599007,47.8444940003063,ZAAR
NA,ZAAR_R15,CONVENTIONNELLE,prairie,-1.87804707355941,47.85913050738543,ZAAR
NA,ZAAR_R16,AB,grande_culture,-2.0825806903010124,47.888779030005395,ZAAR
NA,ZAAR_R17,CONVENTIONNELLE,grande_culture,-1.9625796496382393,47.82747030887412,ZAAR
NA,ZAAR_R18,CONVENTIONNELLE,grande_culture,-1.8745343040432136,47.90445148306729,ZAAR
NA,ZAAR_R19,CONVENTIONNELLE,grande_culture,-2.0492413304448345,47.93978463871538,ZAAR
NA,ZAAR_R20,CONVENTIONNELLE,grande_culture,-2.046091035374082,48.09542360664979,ZAAR
